"BehaviorSpace results (NetLogo 6.1.1)"
"Dissertation 10k.nlogo"
"experiment"
"08/09/2020 15:56:53:560 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","critically_ill_80+","confine_city_travel?","critically_ill_70-79","infection_duration_avg","fatality_rate_40-49","pop_0-9","metres_per_patch","critically_ill_10-19","pop_60-69","days_before_symptom_showing","mask_penetration_particles","critically_ill_20-29","fatality_rate_70-79","critically_ill_40-49","Total_lockdown?","fatality_rate_10-19","pop_30-39","maximum_infectious_distance","Cities","critically_ill_50-59","fatality_rate_20-29","Weather_conditions","pop_40-49","fatality_rate_80+","Afford_healthcare","critically_ill_0-9","lockdown_delay","social_distancing_metres","pop_80+","infectivity","fatality_rate_50-59","hospital_beds","pop_70-79","Essential_workers","symptomatic_isolation_rate","pop_10-19","use_mask_pop","fatality_rate_60-69","Intracity_traveller","critically_ill_30-39","random_seed_number","pop_20-29","critically_ill_60-69","fatality_rate_30-39","fatality_rate_0-9","pop_50-59","initial_infected_proportion","[step]","100 * count humans with [infected?] / total_population","100 * count humans with [infected? and not feel_symptoms?] / total_population","100 * count humans with [infected? and feel_symptoms?] / total_population","100 * count humans with [light_symptoms?] / total_population","100 * count humans with [severe_symptoms?] / total_population","100 * cumulative_death / total_population","100 * (count humans with [not infected? and not infected_previously?]) / total_population","100 * (count humans with [color = yellow] + count humans with [color = orange]) / total_population","100 * (count humans with [color = turquoise]) / total_population","100 * (cumulative_death) / total_population","cumulative_infected","cumulative_death","count humans with [not infected? and infected_previously?]","max pop_infected_daily"
"11","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","781","0","0","0","0","0","0.09","92.53","0","7.38","0.09","747","9","738","7.47"
"3","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","767","0","0","0","0","0","0.09","93.47","0","6.44","0.09","653","9","644","6.53"
"8","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","797","0","0","0","0","0","0.19","93.09","0","6.72","0.19","691","19","672","6.91"
"7","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","803","0","0","0","0","0","0.13","93.47","0","6.4","0.13","653","13","640","6.53"
"5","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","786","0","0","0","0","0","0.17","92.74","0","7.09","0.17","726","17","709","7.26"
"4","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","837","0","0","0","0","0","0.15","91.91","0","7.94","0.15","809","15","794","8.09"
"9","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","871","0","0","0","0","0","0.12","92.62","0","7.26","0.12","738","12","726","7.38"
"1","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","752","0","0","0","0","0","0.06","93.92","0","6.02","0.06","608","6","602","6.08"
"6","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","977","0","0","0","0","0","0.22","92.4","0","7.38","0.22","760","22","738","7.57"
"2","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1025","0","0","0","0","0","0.09","93.11","0","6.8","0.09","689","9","680","6.79"
"12","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1119","0","0","0","0","0","0.07","91.48","0","8.45","0.07","852","7","845","8.38"
"10","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1148","0","0","0","0","0","0.08","91.37","0","8.55","0.08","863","8","855","8.41"
"17","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","10","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2694","0","0","0","0","0","1","40.55","0","58.45","1","5945","100","5845","34.67"
"14","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","10","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3038","0","0","0","0","0","0.88","43.27","0","55.85","0.88","5673","88","5585","32.59"
"15","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","10","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3060","0","0","0","0","0","1.19","40.21","0","58.6","1.19","5979","119","5860","33"
"13","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","10","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3400","0","0","0","0","0","0.86","41.67","0","57.47","0.86","5833","86","5747","34.16"
"23","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","10","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3095","0","0","0","0","0","0.84","43.46","0","55.7","0.84","5654","84","5570","31.2"
"24","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","10","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2916","0","0","0","0","0","0.93","42.23","0","56.84","0.93","5777","93","5684","33.58"
"16","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","10","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3815","0","0","0","0","0","1.12","39.75","0","59.13","1.12","6025","112","5913","33.71"
"19","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","10","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3684","0","0","0","0","0","0.93","41.13","0","57.94","0.93","5887","93","5794","31.25"
"22","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","10","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3690","0","0","0","0","0","0.94","41.86","0","57.2","0.94","5814","94","5720","34.64"
"18","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","10","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3934","0","0","0","0","0","1.04","39.96","0","59","1.04","6004","104","5900","31.4"
"21","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","10","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","4237","0","0","0","0","0","1.17","41.84","0","56.99","1.17","5816","117","5699","32.73"
"20","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","10","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3768","0","0","0","0","0","1.01","41.12","0","57.87","1.01","5888","101","5787","35.32"
