"BehaviorSpace results (NetLogo 6.1.1)"
"Dissertation 10k.nlogo"
"experiment"
"08/09/2020 20:52:54:358 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","critically_ill_80+","confine_city_travel?","critically_ill_70-79","infection_duration_avg","fatality_rate_40-49","pop_0-9","metres_per_patch","critically_ill_10-19","pop_60-69","days_before_symptom_showing","mask_penetration_particles","critically_ill_20-29","fatality_rate_70-79","critically_ill_40-49","Total_lockdown?","fatality_rate_10-19","pop_30-39","maximum_infectious_distance","Cities","critically_ill_50-59","fatality_rate_20-29","Weather_conditions","pop_40-49","fatality_rate_80+","Afford_healthcare","critically_ill_0-9","lockdown_delay","social_distancing_metres","pop_80+","infectivity","fatality_rate_50-59","hospital_beds","pop_70-79","Essential_workers","symptomatic_isolation_rate","pop_10-19","use_mask_pop","fatality_rate_60-69","Intracity_traveller","critically_ill_30-39","random_seed_number","pop_20-29","critically_ill_60-69","fatality_rate_30-39","fatality_rate_0-9","pop_50-59","initial_infected_proportion","[step]","100 * count humans with [infected?] / total_population","100 * count humans with [infected? and not feel_symptoms?] / total_population","100 * count humans with [infected? and feel_symptoms?] / total_population","100 * count humans with [light_symptoms?] / total_population","100 * count humans with [severe_symptoms?] / total_population","100 * cumulative_death / total_population","100 * (count humans with [not infected? and not infected_previously?]) / total_population","100 * (count humans with [color = yellow] + count humans with [color = orange]) / total_population","100 * (count humans with [color = turquoise]) / total_population","100 * (cumulative_death) / total_population","cumulative_infected","cumulative_death","count humans with [not infected? and infected_previously?]","max pop_infected_daily"
"7","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","745","0","0","0","0","0","0.1","93.64","0","6.26","0.1","636","10","626","6.36"
"2","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","762","0","0","0","0","0","0.09","93.63","0","6.28","0.09","637","9","628","6.37"
"5","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","787","0","0","0","0","0","0.14","92.58","0","7.28","0.14","742","14","728","7.42"
"12","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","830","0","0","0","0","0","0.19","93.07","0","6.74","0.19","693","19","674","6.93"
"11","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","838","0","0","0","0","0","0.09","91.15","0","8.76","0.09","885","9","876","8.85"
"1","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","794","0","0","0","0","0","0.12","93.55","0","6.33","0.12","645","12","633","6.45"
"4","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","832","0","0","0","0","0","0.1","93.05","0","6.85","0.1","695","10","685","6.95"
"8","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","857","0","0","0","0","0","0.1","93.36","0","6.54","0.1","664","10","654","6.64"
"3","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","839","0","0","0","0","0","0.08","92.54","0","7.38","0.08","746","8","738","7.46"
"6","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","839","0","0","0","0","0","0.11","93.22","0","6.67","0.11","678","11","667","6.78"
"10","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","903","0","0","0","0","0","0.19","93.2","0","6.61","0.19","680","19","661","6.8"
"9","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","960","0","0","0","0","0","0.16","91.69","0","8.15","0.16","831","16","815","8.28"
