"BehaviorSpace results (NetLogo 6.1.1)"
"Dissertation 10k.nlogo"
"experiment"
"08/09/2020 21:32:44:358 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","critically_ill_80+","confine_city_travel?","critically_ill_70-79","infection_duration_avg","fatality_rate_40-49","pop_0-9","metres_per_patch","critically_ill_10-19","pop_60-69","days_before_symptom_showing","mask_penetration_particles","critically_ill_20-29","fatality_rate_70-79","critically_ill_40-49","Total_lockdown?","fatality_rate_10-19","pop_30-39","maximum_infectious_distance","Cities","critically_ill_50-59","fatality_rate_20-29","Weather_conditions","pop_40-49","fatality_rate_80+","Afford_healthcare","critically_ill_0-9","lockdown_delay","social_distancing_metres","pop_80+","infectivity","fatality_rate_50-59","hospital_beds","pop_70-79","Essential_workers","symptomatic_isolation_rate","pop_10-19","use_mask_pop","fatality_rate_60-69","Intracity_traveller","critically_ill_30-39","random_seed_number","pop_20-29","critically_ill_60-69","fatality_rate_30-39","fatality_rate_0-9","pop_50-59","initial_infected_proportion","[step]","100 * count humans with [infected?] / total_population","100 * count humans with [infected? and not feel_symptoms?] / total_population","100 * count humans with [infected? and feel_symptoms?] / total_population","100 * count humans with [light_symptoms?] / total_population","100 * count humans with [severe_symptoms?] / total_population","100 * cumulative_death / total_population","100 * (count humans with [not infected? and not infected_previously?]) / total_population","100 * (count humans with [color = yellow] + count humans with [color = orange]) / total_population","100 * (count humans with [color = turquoise]) / total_population","100 * (cumulative_death) / total_population","cumulative_infected","cumulative_death","count humans with [not infected? and infected_previously?]","max pop_infected_daily"
"7","27.3","false","24.3","21","3.06","1000","40","0.3","1000","0","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","993","0","0","0","0","0","0.01","98.55","0","1.44","0.01","145","1","144","1.41"
"2","27.3","false","24.3","21","3.06","1000","40","0.3","1000","0","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","974","0","0","0","0","0","0.01","98.35","0","1.64","0.01","165","1","164","1.61"
"8","27.3","false","24.3","21","3.06","1000","40","0.3","1000","0","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1113","0","0","0","0","0","0.05","97.94","0","2.01","0.05","206","5","201","1.99"
"6","27.3","false","24.3","21","3.06","1000","40","0.3","1000","0","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1112","0","0","0","0","0","0.03","98.23","0","1.74","0.03","177","3","174","1.69"
"11","27.3","false","24.3","21","3.06","1000","40","0.3","1000","0","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1157","0","0","0","0","0","0.01","98.16","0","1.83","0.01","184","1","183","1.73"
"12","27.3","false","24.3","21","3.06","1000","40","0.3","1000","0","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1226","0","0","0","0","0","0.06","98.39","0","1.55","0.06","161","6","155","1.55"
"1","27.3","false","24.3","21","3.06","1000","40","0.3","1000","0","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1000","0","0","0","0","0","0.01","98.37","0","1.62","0.01","163","1","162","1.55"
"10","27.3","false","24.3","21","3.06","1000","40","0.3","1000","0","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1256","0","0","0","0","0","0.03","98.25","0","1.72","0.03","175","3","172","1.65"
"3","27.3","false","24.3","21","3.06","1000","40","0.3","1000","0","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1276","0","0","0","0","0","0.02","98.1","0","1.88","0.02","190","2","188","1.83"
"4","27.3","false","24.3","21","3.06","1000","40","0.3","1000","0","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1329","0","0","0","0","0","0.04","98.14","0","1.82","0.04","186","4","182","1.76"
