"BehaviorSpace results (NetLogo 6.1.1)"
"Dissertation 10k.nlogo"
"experiment"
"08/09/2020 22:18:47:888 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","critically_ill_80+","confine_city_travel?","critically_ill_70-79","infection_duration_avg","fatality_rate_40-49","pop_0-9","metres_per_patch","critically_ill_10-19","pop_60-69","days_before_symptom_showing","mask_penetration_particles","critically_ill_20-29","fatality_rate_70-79","critically_ill_40-49","Total_lockdown?","fatality_rate_10-19","pop_30-39","maximum_infectious_distance","Cities","critically_ill_50-59","fatality_rate_20-29","Weather_conditions","pop_40-49","fatality_rate_80+","Afford_healthcare","critically_ill_0-9","lockdown_delay","social_distancing_metres","pop_80+","infectivity","fatality_rate_50-59","hospital_beds","pop_70-79","Essential_workers","symptomatic_isolation_rate","pop_10-19","use_mask_pop","fatality_rate_60-69","Intracity_traveller","critically_ill_30-39","random_seed_number","pop_20-29","critically_ill_60-69","fatality_rate_30-39","fatality_rate_0-9","pop_50-59","initial_infected_proportion","[step]","100 * count humans with [infected?] / total_population","100 * count humans with [infected? and not feel_symptoms?] / total_population","100 * count humans with [infected? and feel_symptoms?] / total_population","100 * count humans with [light_symptoms?] / total_population","100 * count humans with [severe_symptoms?] / total_population","100 * cumulative_death / total_population","100 * (count humans with [not infected? and not infected_previously?]) / total_population","100 * (count humans with [color = yellow] + count humans with [color = orange]) / total_population","100 * (count humans with [color = turquoise]) / total_population","100 * (cumulative_death) / total_population","cumulative_infected","cumulative_death","count humans with [not infected? and infected_previously?]","max pop_infected_daily"
"12","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","1","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","607","0","0","0","0","0","0.01","99","0","0.99","0.01","100","1","99","1"
"6","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","1","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","606","0","0","0","0","0","0.04","99","0","0.96","0.04","100","4","96","1"
"8","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","1","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","605","0","0","0","0","0","0.01","99","0","0.99","0.01","100","1","99","1"
"7","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","1","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","615","0","0","0","0","0","0","99","0","1","0","100","0","100","1"
"9","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","1","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","614","0","0","0","0","0","0.01","99","0","0.99","0.01","100","1","99","1"
"2","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","1","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","617","0","0","0","0","0","0.02","99","0","0.98","0.02","100","2","98","1"
"10","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","1","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","622","0","0","0","0","0","0.03","99","0","0.97","0.03","100","3","97","1"
"4","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","1","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","640","0","0","0","0","0","0.01","99","0","0.99","0.01","100","1","99","1"
"11","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","1","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","630","0","0","0","0","0","0.01","99","0","0.99","0.01","100","1","99","1"
"5","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","1","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","635","0","0","0","0","0","0.02","99","0","0.98","0.02","100","2","98","1"
