"BehaviorSpace results (NetLogo 6.1.1)"
"Dissertation 10k.nlogo"
"experiment"
"08/05/2020 19:04:30:483 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","critically_ill_80+","confine_city_travel?","critically_ill_70-79","infection_duration_avg","fatality_rate_40-49","pop_0-9","metres_per_patch","critically_ill_10-19","pop_60-69","days_before_symptom_showing","mask_penetration_particles","critically_ill_20-29","fatality_rate_70-79","critically_ill_40-49","Total_lockdown?","fatality_rate_10-19","pop_30-39","maximum_infectious_distance","Cities","critically_ill_50-59","fatality_rate_20-29","Weather_conditions","pop_40-49","fatality_rate_80+","Afford_healthcare","critically_ill_0-9","lockdown_delay","social_distancing_metres","pop_80+","infectivity","fatality_rate_50-59","hospital_beds","pop_70-79","Essential_workers","symptomatic_isolation_rate","pop_10-19","use_mask_pop","fatality_rate_60-69","Intracity_traveller","critically_ill_30-39","random_seed_number","pop_20-29","critically_ill_60-69","fatality_rate_30-39","fatality_rate_0-9","pop_50-59","initial_infected_proportion","[step]","100 * count humans with [infected?] / total_population","100 * count humans with [infected? and not feel_symptoms?] / total_population","100 * count humans with [infected? and feel_symptoms?] / total_population","100 * count humans with [light_symptoms?] / total_population","100 * count humans with [severe_symptoms?] / total_population","100 * cumulative_death / total_population","100 * (count humans with [not infected? and not infected_previously?]) / total_population","100 * (count humans with [color = yellow] + count humans with [color = orange]) / total_population","100 * (count humans with [color = turquoise]) / total_population","100 * (cumulative_death) / total_population","cumulative_infected","cumulative_death","count humans with [not infected? and infected_previously?]","max pop_infected_daily"
"1","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2801","0","0","0","0","0","1.59","1.75","0","96.66","1.59","9825","159","9666","56.92"
"3","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2899","0","0","0","0","0","1.74","2.01","0","96.25","1.74","9799","174","9625","59.28"
"7","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2961","0","0","0","0","0","1.46","2.39","0","96.15","1.46","9761","146","9615","62.66"
"2","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2989","0","0","0","0","0","1.81","3.11","0","95.08","1.81","9689","181","9508","63.22"
"4","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2967","0","0","0","0","0","1.34","2.21","0","96.45","1.34","9779","134","9645","59.47"
"6","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3115","0","0","0","0","0","1.58","1.94","0","96.48","1.58","9806","158","9648","56.66"
"8","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3170","0","0","0","0","0","1.57","1.88","0","96.55","1.57","9812","157","9655","59.18"
"10","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3138","0","0","0","0","0","1.71","2.15","0","96.14","1.71","9785","171","9614","57.99"
"12","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3374","0","0","0","0","0","1.55","1.78","0","96.67","1.55","9822","155","9667","61.77"
"9","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","0","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3410","0","0","0","0","0","1.63","3.09","0","95.28","1.63","9691","163","9528","56.68"
